Position,Game,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Last Update
1012,Hero Must Die. Again,Degica,Pyramid,N/A,N/A,N/A,N/A,27th Feb 20,13th Feb 20
1013,Heroes of the Monkey Tavern,Monkey Stories Games,Monkey Stories Games,N/A,N/A,N/A,N/A,07th Nov 17,04th Feb 18
1014,Heroland,Xseed Games,FuRyu,N/A,N/A,N/A,N/A,01st Dec 19,31st Jul 19
1015,Hiragana Pixel Party,Springloaded,Springloaded,N/A,N/A,N/A,N/A,16th Dec 17,12th Mar 18
1016,Hitchhiker,Unknown,Mad About Pandas,N/A,N/A,N/A,N/A,N/A,14th May 21
1017,Hoa,Unknown,Skrollcat Studio,N/A,N/A,N/A,N/A,N/A,13th Jun 21
1018,Hob: The Definitive Edition,Perfect World,Runic Games,N/A,N/A,N/A,N/A,04th Apr 19,02nd Apr 19
1019,Hollow,Forever Entertainment S.A.,MMEU,N/A,N/A,N/A,N/A,22nd Feb 18,23rd Feb 18
1020,Hollow Knight: Silksong,Team Cherry,Team Cherry,N/A,N/A,N/A,N/A,01st Dec 20,11th Jun 19
1021,Holy Potatoes! A Weapon Shop?!,Unknown,Daylight Studios,N/A,N/A,N/A,N/A,N/A,05th Jul 18
1022,Horizon Chase Turbo,AQUIRIS,Aquiris Game Studio,N/A,N/A,N/A,N/A,28th Nov 18,08th Mar 19
1023,Hototogisu Tairan 1553: Ryuuko Aiutsu,Unknown,Granzella,N/A,N/A,N/A,N/A,N/A,01st Feb 18
1024,Hotshot Racing,Unknown,Lucky Mountain Games,N/A,N/A,N/A,N/A,N/A,10th Nov 21
1025,Hue,Unknown,Fiddlesticks,N/A,N/A,N/A,N/A,N/A,16th Dec 20
1026,Hulu,Hulu,Hulu,N/A,N/A,N/A,N/A,09th Nov 17,12th Mar 18
1027,Human Resource Machine,Tomorrow Corporation,Tomorrow Corporation,N/A,N/A,N/A,N/A,16th Mar 17,03rd Feb 18
1028,Human: Fall Flat,Curve Digital,No Brakes Games,N/A,N/A,N/A,N/A,07th Dec 17,12th Mar 18
1029,Huntdown,Coffee Stain Studios,Easy Trigger Games,N/A,N/A,N/A,N/A,01st Jan 18,12th Mar 18
1030,Hyper Light Drifter - Special Edition,Abylight,Heart Machine,N/A,N/A,N/A,N/A,06th Sep 18,15th Nov 18
1031,HyperBrawl Tournament,Unknown,Milky Tea,N/A,N/A,N/A,N/A,N/A,23rd Oct 20
1032,Hypercharge: Unboxed,Digital Cybercherries,Digital Cybercherries,N/A,N/A,N/A,N/A,31st Jan 20,17th Jan 20
1033,"Hyperlight Ultimate
Read the review",Unknown,CatfishBlues Games,6.0,N/A,N/A,N/A,09th Jul 19,07th Jul 19
1034,I Am Dead,Annapurna Interactive,Hollow Ponds,N/A,N/A,N/A,N/A,08th Oct 20,03rd Oct 20
1035,I and Me,Ratalaika Games,Wish Fang,N/A,N/A,N/A,N/A,13th Jul 17,12th Mar 18
1036,I Saw Black Clouds,Unknown,Ghost Dog Films,N/A,N/A,N/A,N/A,N/A,22nd Apr 21
1037,"I, Zombie",Awesome Games Studio,Awesome Games Studio,N/A,N/A,N/A,N/A,08th Mar 18,23rd Mar 18
1038,Ice Age: Scrat's Nutty Adventure,Bandai Namco Entertainment,Just Add Water,N/A,N/A,N/A,N/A,18th Oct 19,12th Sep 19
1039,Icewind Dale: Enhanced Edition,Atari,Overhaul Games,N/A,N/A,N/A,N/A,24th Sep 19,08th Jun 19
1040,"Ikaruga
Read the review",Unknown,Treasure,9.0,N/A,N/A,N/A,N/A,21st May 18
1041,Ikenfell,Humble Bundle,Happy Ray Games,N/A,N/A,N/A,N/A,08th Oct 20,05th Sep 20
1042,Immortal Realms: Vampire Wars,Kalypso Media,Palindrome Interactive,N/A,N/A,N/A,N/A,28th Aug 20,12th May 20
1043,Immortal Redneck,CremaGames,CremaGames,N/A,N/A,N/A,N/A,10th May 18,17th Apr 18
1044,Immortals Fenyx Rising,Ubisoft,Ubisoft,N/A,N/A,N/A,N/A,03rd Dec 20,20th Sep 20
1045,Implosion,Flyhigh Works,Cascade Games,N/A,N/A,N/A,N/A,06th Jul 17,12th Mar 18
1046,Indivisible,505 Games,Lab Zero Games,N/A,N/A,N/A,N/A,30th Dec 20,11th Apr 19
1047,Infernax,The Arcade Crew,Berzerk Studio,N/A,N/A,N/A,N/A,14th Feb 22,19th Apr 22
1048,Inferno Climber: Reborn,Arc System Works,Arc System Works,N/A,N/A,N/A,N/A,28th Mar 19,23rd Mar 19
1049,Infinite Minigolf,Zen Studios,Zen Studios,N/A,N/A,N/A,N/A,28th Jul 17,20th Jan 18
1050,"Infinite: Beyond The Mind
Read the review",Blowfish Studios,Emilie COYO,7.0,N/A,N/A,N/A,07th May 20,06th May 20
1051,Infliction,Caustic Reality,Caustic Reality,N/A,N/A,N/A,N/A,01st Dec 19,25th Jul 19
1052,"InnerSpace
Read the review","Aspyr Media, Inc.",PolyKnight Games,5.0,6.5,N/A,N/A,16th Jan 18,12th Jan 18
1053,INSIDE,Playdead,Playdead,N/A,N/A,N/A,N/A,28th Jun 18,06th Oct 18
1054,Insurmountable,Unknown,ByteRockers Games,N/A,N/A,N/A,N/A,N/A,30th May 21
1055,Into the Breach,Subset Games,Subset Games,N/A,N/A,N/A,N/A,28th Aug 18,15th Nov 18
1056,"Into the Dead 2
Read the review",Versus Evil,PikPok,7.0,N/A,N/A,N/A,25th Oct 19,24th Oct 19
1057,INVERSUS Deluxe,Hypersect,Hypersect,N/A,N/A,N/A,N/A,28th Sep 17,12th Mar 18
1058,Ion Fury,3D Realms,Voidpoint,N/A,N/A,N/A,N/A,14th May 20,12th Aug 19
1059,"Iro Hero
Read the review",Unknown,Artax Games SL,7.0,N/A,N/A,N/A,N/A,06th Jun 18
1060,IRONCAST,Ripstone,Dreadbit,N/A,N/A,N/A,N/A,10th Aug 17,12th Mar 18
1061,Irony Curtain: From Matryoshka,Unknown,Artifex Mundi,N/A,N/A,N/A,N/A,N/A,25th Jul 18
1062,Island Flight Simulator,Libredia Entertainment,Caipirinha Games,N/A,N/A,N/A,N/A,01st Feb 18,12th Mar 18
1063,"Island Saver
Read the review",Unknown,Stormcloud Games,4.0,N/A,N/A,N/A,N/A,16th May 20
1064,Islanders: Console Edition,Coatsink Software,GrizzlyGames,N/A,N/A,N/A,N/A,11th Aug 21,08th Nov 21
1065,ITTA,Armor Games,Glass Revolver,N/A,N/A,N/A,N/A,01st Dec 20,14th Jan 20
1066,Jack Jeanne,Broccoli,Broccoli,N/A,N/A,N/A,N/A,03rd Dec 20,16th May 20
1067,Jakou no Lyla: Trap of Musk,Idea Factory,Idea Factory,N/A,N/A,N/A,N/A,19th Sep 19,22nd Mar 19
1068,"Jamestown+
Read the review",Unknown,Final Form Games,7.0,N/A,N/A,N/A,N/A,05th Dec 19
1069,Jikkyou Powerful Pro Yakyuu,Konami,Konami,N/A,N/A,N/A,N/A,27th Jun 19,26th Mar 19
1070,Joe Dever's Lone Wolf,Forge Reply,Forge Reply,N/A,N/A,N/A,N/A,16th Feb 18,12th Mar 18
1071,"Joggernauts
Read the review",Unknown,Space Mace,6.0,N/A,N/A,N/A,N/A,10th Oct 18
1072,Johnny Turbo's Arcade: Bad Dudes,FTE Games,Flying Tiger Entertainment,N/A,N/A,N/A,N/A,29th Mar 18,23rd Mar 18
1073,Johnny Turbo's Arcade: Gate of Doom,FTE Games,Flying Tiger Entertainment,N/A,N/A,N/A,N/A,15th Feb 18,12th Mar 18
1074,Johnny Turbo's Arcade: Wizard Fire,Unknown,FTE Games,N/A,N/A,3.0,N/A,21st Jun 18,29th Aug 20
1075,"Jotun: Valhalla Edition
Read the review",Unknown,Thunder Lotus Games,7.0,N/A,N/A,N/A,N/A,18th Apr 18
1076,Jumanji: The Video Game,Unknown,Funsolve,N/A,N/A,N/A,N/A,N/A,10th Nov 19
1077,Jump Force,Bandai Namco Entertainment,Spike Chunsoft,N/A,N/A,N/A,N/A,28th Aug 20,05th Jun 20
1078,Jump Rope Challenge,Nintendo,Nintendo EPD,N/A,N/A,N/A,N/A,15th Jun 20,20th Jul 20
1079,Jurassic World Evolution: Complete Edition,Frontier Developments,Frontier Developments,N/A,N/A,N/A,N/A,03rd Nov 20,08th Sep 20
1080,Just Dance 2020,Ubisoft,Ubisoft,N/A,N/A,N/A,N/A,05th Nov 19,25th Jul 19
1081,Just Dance 2021,Ubisoft,Ubisoft Paris,N/A,N/A,N/A,N/A,12th Nov 20,27th Aug 20
1082,Just Die Already,Unknown,DoubleMoose Games,N/A,N/A,N/A,N/A,N/A,20th May 21
1083,Just Shapes & Beats,Berzerk Studio,Berzerk Studio,N/A,N/A,N/A,N/A,01st Jul 18,23rd Mar 18
1084,JYDGE,10tons,10tons Ltd,N/A,N/A,N/A,N/A,19th Oct 17,12th Mar 18
1085,Kaiji: Steel Beam Crossing of Despair,Unknown,Solidsphere,N/A,N/A,N/A,N/A,N/A,07th Jan 18
1086,Kao the Kangaroo,Unknown,Tate Multimedia,N/A,N/A,N/A,N/A,N/A,31st May 22
1087,Karaoke JOYSOUND for Switch,Xing Entertainment,Xing Inc.,N/A,N/A,N/A,N/A,06th Dec 17,30th Aug 18
1088,Katakoi Contrast: Collection of Branch,Idea Factory,Idea Factory,N/A,N/A,N/A,N/A,22nd Aug 19,22nd Mar 19
1089,Katana ZERO,Devolver Digital,Akiisoft,N/A,N/A,N/A,N/A,18th Apr 19,02nd Apr 19
1090,Kentucky Route Zero: TV Edition,Annapurna Interactive,Cardboard Computer,N/A,N/A,N/A,N/A,28th Jan 20,19th Jan 18
1091,"Kero Blaster
Read the review",Unknown,Studio Pixel,7.0,N/A,N/A,N/A,N/A,20th Aug 18
1092,Kid Tripp,Four Horses,Four Horses,N/A,N/A,N/A,N/A,23rd Nov 17,12th Mar 18
1093,Kill la Kill: IF,Arc System Works,Arc System Works,N/A,N/A,N/A,N/A,26th Jul 19,06th Apr 19
1094,"Killer Queen Black
Read the review","Liquid Bit, LLC","Liquid Bit, LLC",7.0,N/A,N/A,N/A,11th Oct 19,13th Sep 19
1095,King Oddball,10tons,10tons Ltd,N/A,N/A,N/A,N/A,30th Oct 17,12th Mar 18
1096,King of Seas,Unknown,3DClouds.it,N/A,N/A,N/A,N/A,N/A,04th Jun 21
1097,King's Bounty II,Deep Silver,1C Entertainment,N/A,N/A,N/A,N/A,01st Apr 21,28th Aug 20
1098,Kingdom Hearts: Melody of Memory,Square Enix,Square Enix,N/A,N/A,N/A,N/A,13th Nov 20,18th Sep 20
1099,Kingdom Two Crowns,Raw Fury,Noio,N/A,N/A,N/A,N/A,11th Dec 18,01st Dec 18
1100,Kingdom: New Lands,Raw Fury,Noio,N/A,N/A,N/A,N/A,14th Sep 17,12th Mar 18
1101,Kingdoms of Amalur: Re-Reckoning - Fatesworn,Unknown,Kaiko,N/A,N/A,N/A,N/A,N/A,13th Jan 22
1102,Kirby Fighters 2,Nintendo,HAL Laboratory,N/A,N/A,N/A,N/A,24th Sep 20,25th Sep 20
1103,Knight Terrors,Nicalis,Freakzone Games,N/A,N/A,N/A,N/A,24th Oct 17,12th Mar 18
1104,Knights and Bikes,Double Fine Presents,Foam Sword,N/A,N/A,N/A,N/A,06th Feb 20,24th Jan 20
1105,Knights of Pen and Paper +1 Edition,Unknown,Behold Studios,N/A,N/A,N/A,N/A,N/A,20th Mar 19
1106,Knockout City,EA Originals,Velan Studios,N/A,N/A,N/A,N/A,21st May 21,17th Feb 21
1107,Knockout Home Fitness,Xseed Games,Pocket,N/A,N/A,N/A,N/A,28th Sep 21,15th Jun 21
1108,Koi DX,CIRCLE Entertainment,FK Digital,N/A,N/A,N/A,N/A,09th Nov 17,12th Mar 18
1109,Kona,Koch Media,Parabole,N/A,N/A,N/A,N/A,09th Mar 18,23rd Mar 18
1110,"Konami Anniversary Collection: Arcade Classics
Read the review",Unknown,Konami,6.0,N/A,N/A,N/A,N/A,19th Mar 19
1111,Konoyo no Hate de Koi o Utau Shoujo: Yu-No,5pb,MAGES,N/A,N/A,N/A,N/A,14th Mar 19,22nd Mar 19
1112,Kotodama: The 7 Mysteries of Fujisawa,PQube,Art Co. Ltd.,N/A,N/A,1.0,N/A,04th Jun 19,03rd Apr 19
1113,"Kunai
Read the review",The Arcade Crew,TurtleBlaze,7.0,N/A,N/A,N/A,06th Feb 20,14th Jan 20
1114,KungFu Kickball,Blowfish Studios,WhaleFood Games,N/A,N/A,N/A,N/A,01st Dec 20,17th Aug 19
1115,La Corda d'Oro: Octave,Koei Tecmo,Ruby Party,N/A,N/A,N/A,N/A,14th Feb 19,24th Feb 19
1116,La-Mulana 2,Active Gaming Media,Nigoro,N/A,N/A,N/A,N/A,31st Dec 20,08th Apr 19
1117,Labyrinth City: Pierre the Maze Detective,Unknown,Darjeeling,N/A,N/A,N/A,N/A,N/A,30th Jul 21
1118,Langrisser I & II,Kadokawa Games,Kadokawa Games,N/A,N/A,N/A,N/A,18th Apr 19,22nd Mar 19
1119,Last Day of June,505 Games,505 Games,N/A,N/A,N/A,N/A,16th Mar 18,23rd Mar 18
1120,Layers of Fear: Legacy,Bloober Team S.A.,Bloober Team,N/A,N/A,N/A,N/A,21st Feb 18,21st Feb 18
1121,League of Evil,Ratalaika Games,Ratalaika Games,N/A,N/A,7.0,N/A,31st Aug 17,23rd Mar 18
1122,Legend of Mana,Square Enix,Square Enix,N/A,N/A,N/A,N/A,24th Jun 21,17th Feb 21
1123,Lego Brawls,Unknown,RED Games,N/A,N/A,N/A,N/A,N/A,06th May 22
1124,Lego Jurassic World,Warner Bros. Interactive Entertainment,TT Fusion,N/A,N/A,N/A,N/A,17th Sep 19,08th Sep 19
1125,LEGO Star Wars: The Skywalker Saga,Warner Bros. Interactive Entertainment,TT Fusion,N/A,N/A,N/A,N/A,20th Oct 21,10th Jun 19
1126,Legrand Legacy: Tale of the Fatebounds,Another Indie,Semisoft,N/A,N/A,N/A,N/A,24th Jan 19,02nd Jan 19
1127,Leisure Suit Larry: Wet Dreams Don't Dry,Unknown,CrazyBunch,N/A,N/A,N/A,N/A,N/A,14th Oct 20
1128,Leisure Suit Larry: Wet Dreams Dry Twice,Unknown,CrazyBunch,N/A,N/A,N/A,N/A,N/A,09th May 21
1129,Letter Quest Remastered,Digerati,Digerati,N/A,N/A,N/A,N/A,23rd Nov 17,23rd Mar 18
1130,Levelhead,Unknown,Butterscotch Shenanigans,N/A,N/A,N/A,N/A,N/A,13th Jan 21
1131,Levels+: Addictive Puzzle Game,flow,flow,N/A,N/A,N/A,N/A,13th Jul 17,23rd Mar 18
1132,Lichtspeer: Double Speer Edition,Crunching Koalas,Lichthund,N/A,N/A,N/A,N/A,07th Sep 17,23rd Mar 18
1133,Life is Strange Remastered Collection,Unknown,Deck Nine Games,N/A,N/A,N/A,N/A,N/A,16th Jun 21
1134,Life is Strange: True Colors,Unknown,Deck Nine Games,N/A,N/A,N/A,N/A,N/A,16th Jun 21
1135,Light Fall,Bishop Games,Bishop Games,N/A,N/A,N/A,N/A,01st May 18,23rd Mar 18
1136,Light Fingers,Numizmatic,Numizmatic,N/A,N/A,N/A,N/A,20th Sep 18,06th Oct 18
1137,Limbo,Unknown,Playdead,N/A,N/A,N/A,N/A,N/A,07th Nov 21
1138,Little Devil Inside,Unknown,Neostream Interactive,N/A,N/A,N/A,N/A,N/A,02nd Jun 21
1139,Little Friends: Dogs & Cats,Sold Out,Imagineer,N/A,N/A,N/A,N/A,27th May 19,19th May 19
1140,Little Inferno,Tomorrow Corporation,Tomorrow Corporation,N/A,N/A,N/A,N/A,16th Mar 17,23rd Mar 18
1141,Little Misfortune,Killmonday Games,Killmonday Games,N/A,N/A,N/A,N/A,29th May 20,14th Sep 21
1142,"Little Nightmares 2
Read the review",Bandai Namco Entertainment,Tarsier Studios,6.5,N/A,N/A,N/A,11th Feb 21,29th Oct 19
1143,Little Town Hero,NIS America,Game Freak,N/A,N/A,N/A,N/A,23rd Jun 20,26th Jul 20
1144,Little Triangle,KONANDENKI,Cotton Game,N/A,N/A,N/A,N/A,01st Mar 18,23rd Mar 18
1145,Littlewood,SmashGames,Sean Young,N/A,N/A,N/A,N/A,25th Feb 21,13th Jan 21
1146,Lode Runner Legacy,Unknown,Tozai Games,N/A,N/A,N/A,N/A,N/A,16th Jan 20
1147,Lost in Random,Electronic Arts,Zoink Games,N/A,N/A,N/A,N/A,10th Sep 21,19th Jun 20
1148,Lost Wing,2Awesome Studio,BoxFrog Games,N/A,N/A,N/A,N/A,31st Jul 20,25th Jul 19
1149,"Lost Words: Beyond the Page
Read the review",Unknown,Sketchbook Games,6.5,N/A,N/A,N/A,N/A,23rd Apr 21
1150,Lovers in a Dangerous Spacetime,Asteroid Base,Asteroid Base,N/A,N/A,N/A,N/A,03rd Oct 17,23rd Mar 18
1151,"Lumberhill
Read the review",Unknown,2BIGo,5.5,N/A,N/A,N/A,N/A,21st Apr 22
1152,Lumines Remastered,Enhance,Resonair,N/A,N/A,N/A,N/A,01st May 18,23rd Mar 18
1153,Lyrica,RNOVA Studio,Cosen,N/A,N/A,N/A,N/A,28th Mar 19,23rd Mar 19
1154,Mad Carnage,QubicGames,QubicGames,N/A,N/A,N/A,N/A,02nd Feb 18,01st Feb 18
1155,Mad Rat Dead,NIS America,Nippon Ichi Software,N/A,N/A,N/A,N/A,30th Oct 20,15th Sep 20
1156,MADiSON,Unknown,BLOODIOUS GAMES,N/A,N/A,N/A,N/A,N/A,26th May 22
1157,"Mages of Mystralia
Read the review",Borealys Games,Borealys Games,5.0,N/A,7.0,N/A,29th Jan 19,16th Dec 18
1158,"MagiCat
Read the review",Unknown,Kucing Rembes,7.0,N/A,N/A,N/A,N/A,22nd Sep 18
1159,Maison de Maou,Unknown,Bergsala Lightweight,N/A,N/A,N/A,N/A,N/A,03rd Mar 18
1160,Maneater,Tripwire Interactive,Tripwire Interactive,N/A,N/A,N/A,N/A,22nd Dec 20,16th Dec 19
1161,Manticore: Galaxy on Fire,Unknown,Fishlabs Entertainment,N/A,N/A,N/A,N/A,N/A,31st May 18
1162,Mantis Burn Racing,Unknown,VooFoo Studios,N/A,N/A,N/A,N/A,N/A,16th Feb 18
1163,Maria The Witch,Naps Team,Naps Team,N/A,N/A,N/A,N/A,09th Nov 17,23rd Mar 18
1164,"Mario & Sonic at the Tokyo 2020 Olympic Games
Read the review",Sega,Sega,7.0,N/A,N/A,N/A,05th Nov 19,12th Jun 19
1165,Mario + Rabbids: Sparks of Hope,Unknown,Ubisoft,N/A,N/A,N/A,N/A,N/A,12th Jun 21
1166,"Mario Strikers: Battle League
Read the review",Nintendo,Nintendo,5.5,N/A,N/A,N/A,10th Jun 22,09th Feb 22
1167,Mark of the Ninja: Remastered,Klei Entertainment,Klei Entertainment,N/A,N/A,N/A,N/A,09th Oct 18,06th Oct 18
1168,Marooners,Unknown,M2H,N/A,N/A,N/A,N/A,N/A,26th Jul 21
1169,Mars or Die!,34BigThings srl,34BigThings srl,N/A,N/A,N/A,N/A,18th Jan 19,06th May 19
1170,Marvel's Guardians of the Galaxy,Square Enix,Eidos Montreal,N/A,N/A,N/A,N/A,26th Oct 21,15th Jun 21
1171,Marvel's Midnight Suns,Unknown,Firaxis Games,N/A,N/A,N/A,N/A,N/A,27th Aug 21
1172,Mary Skelter 2,Idea Factory International,Compile Heart,N/A,N/A,N/A,N/A,22nd Oct 19,12th Aug 19
1173,Mecho Tales,Arcade Distillery,Arcade Distillery,N/A,N/A,N/A,N/A,14th Dec 17,23rd Mar 18
1174,"Mechstermination Force
Read the review",Horberg Productions,Horberg Productions,7.0,N/A,N/A,N/A,03rd Apr 19,03rd Apr 19
1175,Mega Man Zero/ZX Legacy Collection,Capcom,Inti Creates,N/A,N/A,N/A,N/A,25th Feb 20,30th Oct 19
1176,Melty Blood: Type Lumina,Unknown,French-Bread,N/A,N/A,N/A,N/A,N/A,17th Aug 21
1177,Membrane,Perfect Hat,Perfect Hat,N/A,N/A,N/A,N/A,22nd Feb 18,23rd Mar 18
1178,Memories Off: Innocent Fille for Dearest,5pb,5pb. Inc.,N/A,N/A,N/A,N/A,28th Mar 19,22nd Mar 19
1179,Memorrha,StickyStoneStudio,StickyStoneStudio,N/A,N/A,N/A,N/A,23rd Sep 19,07th Jul 19
1180,Mercenaries Wings: The False Phoenix,Unknown,RideonT2,N/A,N/A,N/A,N/A,N/A,02nd Jul 18
1181,Mercenary Kings Reloaded,Tribute Games,Tribute Games,N/A,N/A,N/A,N/A,06th Feb 18,23rd Mar 18
1182,Mesmer,Unknown,Rain Games,N/A,N/A,N/A,N/A,N/A,07th Feb 18
1183,Metal Max Xeno: Reborn,Kadokawa Games,Kadokawa Games,N/A,N/A,N/A,N/A,10th Sep 20,16th May 20
1184,Metal Max Xeno: Reborn 2,Unknown,Kadokawa Games,N/A,N/A,N/A,N/A,N/A,16th May 20
1185,Metal!,DMM Games,DMM Games,N/A,N/A,N/A,N/A,08th Feb 18,12th Jan 18
1186,METRO Redux,Deep Silver,4a-games,N/A,N/A,N/A,N/A,28th Feb 20,22nd Jan 20
1187,Metropolis: Lux Obscura,Sometimes You,Sometimes You,N/A,N/A,N/A,N/A,04th Apr 18,03rd Mar 18
1188,MicroMan,Glob Games Studio,Glob Games Studio,N/A,N/A,N/A,N/A,01st Dec 21,14th Jun 20
1189,Midnight Caravan,Unknown,Gamera Interactive,N/A,N/A,N/A,N/A,N/A,25th May 21
1190,Midnight Deluxe,Unknown,Petite Games,N/A,N/A,7.0,N/A,N/A,09th Mar 18
1191,Mighty Fight Federation,"Komi Games, Inc","Komi Games, Inc",N/A,N/A,N/A,N/A,01st Dec 20,05th Aug 19
1192,"Mighty Goose
Read the review",Unknown,Blastmode,7.0,N/A,N/A,N/A,N/A,02nd Jun 21
1193,Mighty Switch Force! Collection,Unknown,WayForward,N/A,N/A,N/A,N/A,N/A,24th Jul 19
1194,Millie,Forever Entertainment S.A.,Forever Entertainment S.A.,N/A,N/A,N/A,N/A,15th Feb 18,06th Apr 19
1195,Mind Maze,Unknown,Sometimes You,N/A,N/A,N/A,N/A,N/A,16th Jul 21
1196,Minecraft Legends,Unknown,Mojang,N/A,N/A,N/A,N/A,N/A,13th Jun 22
1197,Minecraft: Dungeons,Microsoft Game Studios,Mojang AB,N/A,N/A,N/A,N/A,26th May 20,19th Jun 19
1198,Mineko's Night Market,Humble Bundle,Meowza Games,N/A,N/A,N/A,N/A,30th Dec 20,04th Nov 18
1199,Minna no Doubutsu Shogi,Silver Star Japan,Silver Star Japan,N/A,N/A,N/A,N/A,23rd May 19,22nd Mar 19
1200,Minoria,DANGEN Entertainment,Bombservice,N/A,N/A,N/A,N/A,01st Dec 19,12th Apr 19
1201,Minute of Islands,Mixtvision,Studio Fizbin,N/A,N/A,N/A,N/A,01st Dec 20,12th Aug 19
1202,MLB The Show 22,Unknown,SCE San Diego Studio,N/A,N/A,N/A,N/A,N/A,08th Feb 22
1203,"MO:Astray
Read the review",Unknown,Archpray Inc.,7.0,N/A,N/A,N/A,N/A,04th Oct 20
1204,Mom Hid My Game!,Kemco,Kemco,N/A,N/A,N/A,N/A,21st Dec 17,23rd Mar 18
1205,Momodora Reverie Under the Moonlight,Unknown,Bombservice,N/A,N/A,N/A,N/A,N/A,25th Jun 19
1206,Monark,Unknown,FuRyu Corporation,N/A,N/A,N/A,N/A,N/A,10th Jun 21
1207,Monster Energy Supercross - The Official Videogame 2,Milestone S.r.l.,Milestone S.r.l.,N/A,N/A,N/A,N/A,08th Feb 19,19th Oct 18
1208,Monster Energy Supercross - The Official Videogame 3,Unknown,Milestone S.r.l.,N/A,N/A,N/A,N/A,N/A,28th Jan 21
1209,Monster Energy Supercross - The Official Videogame 4,Unknown,Milestone S.r.l.,N/A,N/A,N/A,N/A,N/A,28th Jan 21
1210,Monster Hunter Rise: Sunbreak,Unknown,Capcom,N/A,N/A,N/A,N/A,N/A,05th Jul 22
1211,"Monster Hunter Stories 2: Wings of Ruin
Read the review",Capcom,Capcom,7.5,N/A,N/A,N/A,01st Jul 21,17th Sep 20
1212,Monster Rancher 1 & 2 DX,Koei Tecmo,Koei Tecmo Games,N/A,N/A,N/A,N/A,09th Dec 21,27th Aug 21
1213,"Monster Slayers
Read the review",Unknown,Nerdook Productions,6.0,N/A,N/A,N/A,N/A,04th Apr 19
1214,Monstrum,Soedesco,Team Junkfish,N/A,N/A,N/A,N/A,22nd May 20,13th Aug 19
1215,Moon Hunters,Kitfox Games,Kitfox Games,N/A,N/A,N/A,N/A,26th Oct 17,23rd Mar 18
1216,Moon: Remix RPG Adventure,Onion Games,Lovedelic,N/A,N/A,N/A,N/A,27th Aug 20,01st Aug 20
1217,Moorhuhn Knights & Castles,Young Fun Studio,Young Fun Studio,N/A,N/A,N/A,N/A,11th Jan 18,23rd Mar 18
1218,Morphies Law,Unknown,Cosmoscope,N/A,N/A,N/A,N/A,N/A,21st Mar 18
1219,Morphite,Level 77,Blowfish Studios,N/A,N/A,N/A,N/A,02nd Nov 17,23rd Mar 18
1220,Mortal Kombat 11,Warner Bros. Interactive Entertainment,NetherRealm Studios,N/A,N/A,N/A,N/A,23rd Apr 19,31st Mar 19
1221,Mortal Kombat 11: Aftermath,Unknown,NetherRealm Studios,N/A,N/A,N/A,N/A,N/A,29th May 20
1222,Mosaic,Raw Fury,Krillbite Studio,N/A,N/A,N/A,N/A,23rd Jan 20,17th Aug 18
1223,MotoGP 18,Milestone S.r.l.,Milestone S.r.l,N/A,N/A,N/A,N/A,28th Jun 18,02nd Jan 19
1224,MotoGP 19,Milestone S.r.l.,Milestone S.r.l.,N/A,N/A,N/A,N/A,27th Jun 19,10th Jun 19
1225,MotoGP 20,Milestone S.r.l.,Milestone S.r.l.,N/A,N/A,N/A,N/A,23rd Apr 20,13th Apr 20
1226,MotoGP 21,Unknown,Milestone S.r.l.,N/A,N/A,N/A,N/A,N/A,30th Jul 21
1227,Moujuutsukai to Oujisama: Flower & Snow,Idea Factory,Otomate,N/A,N/A,N/A,N/A,30th May 19,15th May 19
1228,Moving Out,Team 17,DevM Games,N/A,N/A,N/A,N/A,28th Apr 20,27th Apr 20
1229,Mr. Driller Drill Land,Bandai Namco Entertainment,Bandai Namco Games,N/A,N/A,N/A,N/A,25th Jun 20,08th Apr 20
1230,Mr. Shifty,TinyBuild Games,Team Shifty,N/A,N/A,N/A,N/A,13th Apr 17,23rd Mar 18
1231,Mugsters,Team 17,Team17,N/A,N/A,N/A,N/A,18th Jul 18,17th Apr 22
1232,MUJO,Oink Games,Oink Games,N/A,N/A,N/A,N/A,30th Nov 17,23rd Mar 18
1233,Mulaka,Lienzo,Lienzo,N/A,N/A,7.6,N/A,01st Mar 18,18th Feb 18
1234,Munchkin: Quacked Quest,Asmodee Digital,Asmodee Digital,N/A,N/A,N/A,N/A,19th Nov 19,18th Dec 19
1235,Murder by Numbers,Unknown,Mediatonic,N/A,N/A,N/A,N/A,N/A,21st Dec 20
1236,Murder Detective: Jack the Ripper,Nippon Ichi Software,Nippon Ichi Software,N/A,N/A,N/A,N/A,25th Apr 19,22nd Mar 19
1237,Mutant Mudds Collection,Atooi,Atooi,N/A,N/A,N/A,N/A,14th Dec 17,23rd Mar 18
1238,"Mutant Year Zero: Road to Eden Deluxe Edition
Read the review",Funcom,Fun Com,6.0,N/A,N/A,N/A,04th Dec 18,20th Mar 19
1239,Mutant Year Zero: Seed of Evil,Unknown,Funcom,N/A,N/A,N/A,N/A,N/A,10th Jun 19
1240,MX vs. ATV All Out,THQ Nordic,Rainbow Studios,N/A,N/A,N/A,N/A,01st Sep 20,07th Jul 20
1241,My Aunt is a Witch,Unknown,Sometimes You,N/A,N/A,N/A,N/A,N/A,01st Dec 20
