Position,Game,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Last Update
198,Party Arcade,Planet Entertainment,Solutions 2 Go,N/A,N/A,N/A,N/A,09th Nov 18,15th Aug 18
199,"The End is Nigh
Read the review",Nicalis,Edmund McMillen,N/A,N/A,N/A,N/A,12th Dec 17,28th Jan 18
200,Tiny Barbarian DX,Nicalis,Unknown,N/A,N/A,N/A,N/A,10th Oct 17,20th Feb 19
201,"Owlboy
Read the review",Soedesco,D-Pad Studios,7.0,9.0,N/A,N/A,29th May 18,06th Nov 18
202,Little Nightmares,Bandai Namco Entertainment,Tarsier Studios,N/A,N/A,N/A,N/A,18th May 18,20th Feb 19
203,Scribblenauts Mega Pack,Warner Bros. Interactive Entertainment,Shiver Games,N/A,N/A,N/A,N/A,18th Sep 18,20th Feb 19
204,Brawlout,Merge Games,Angry Mob Games,N/A,6.2,N/A,0.05m,26th Jun 18,22nd Feb 18
205,Senran Kagura Reflexions,Xseed Games,HONEY PARADE GAMES,N/A,N/A,N/A,0.05m,13th Sep 18,14th Oct 18
206,VOEZ,PM Studios,Rayark Inc.,N/A,8.5,N/A,0.05m,14th Aug 18,28th Jan 18
207,My Riding Stables: Life with Horses,TREVA Entertainment,Independent Arts Software GmbH,N/A,N/A,N/A,N/A,13th Nov 18,04th Aug 18
208,Toki Collector's Edition,Microids,Golgoth Studio,N/A,N/A,N/A,N/A,22nd Nov 18,22nd Feb 19
209,I am Setsuna,Square Enix,Tokyo RPG Factory,N/A,7.0,N/A,N/A,03rd Mar 17,04th Jul 18
210,Battle Chasers: Nightwar,THQ Nordic,Airship Syndicate,N/A,8.5,N/A,N/A,15th May 18,22nd Sep 18
211,Wonder Boy: The Dragon's Trap (Remake),DotEmu,Lizardcube,N/A,7.4,7.5,N/A,18th Apr 17,10th Aug 18
212,"Yomawari: The Long Night Collection
Read the review",NIS America,Nippon Ichi Software,6.0,N/A,N/A,N/A,30th Oct 18,07th Nov 18
213,The Escapists 2,Sold Out,Team17 Software,N/A,N/A,N/A,N/A,30th Oct 18,22nd Feb 19
214,"SNK Heroines Tag Team Frenzy
Read the review",NIS America,SNK Corporation,6.0,N/A,N/A,N/A,07th Sep 18,04th Aug 18
215,Lost Sphear,Square Enix,Tokyo RPG Factory,N/A,6.5,N/A,N/A,23rd Jan 18,10th Jan 18
